time,PWM0,PWM1,PWM2,PWM3,ActivationTime
0.000000,37369,38440,43161,43086,0.025655
0.005000,38292,38737,42198,42438,0.022448
0.010000,39030,39159,41148,41917,0.021920
0.015000,39462,39670,40390,41097,0.021759
0.020000,39792,39832,40024,40429,0.021927
0.025000,39892,39767,40059,40279,0.021856
0.030000,39947,39752,39974,40206,0.021871
0.035000,39868,39776,40084,39880,0.022155
0.040000,39857,39672,40061,40054,0.022365
0.045000,39772,39684,40101,40119,0.020614
0.050000,39906,39589,39919,40011,0.022949
0.055000,39771,39604,40130,40151,0.020894
0.060000,39749,39709,40072,39958,0.020731
0.065000,39748,39668,40014,40001,0.020500
0.070000,39718,39535,40022,39950,0.020594
0.075000,39587,39649,40051,40045,0.020358
0.080000,39793,39599,39885,39953,0.020665
0.085000,39693,39576,39921,39795,0.020358
0.090000,39695,39518,39917,40121,0.020332
0.095000,39602,39697,39766,39636,0.020510
0.100000,39552,39403,40068,39855,0.020734
0.105000,39543,39414,39990,39938,0.024972
0.110000,39614,39411,39849,39951,0.020771
0.115000,39501,39510,39920,39781,0.020326
0.120000,39656,39430,39750,39827,0.020197
0.125000,39482,39433,39814,39793,0.020496
0.130000,39452,39368,39947,39724,0.020686
0.135000,39415,39346,39890,39662,0.020541
0.140000,39393,39337,39836,39997,0.020530
0.145000,39451,39437,39720,39680,0.020512
0.150000,39422,39345,39760,39804,0.020524
0.155000,39448,39402,39662,39539,0.020285
0.160000,39318,39246,39886,39767,0.020730
0.165000,39309,39330,39716,39598,0.020493
0.170000,39277,39370,39717,39525,0.020610
0.175000,39326,39307,39580,39638,0.020644
0.180000,39230,39276,39753,39587,0.020229
0.185000,39246,39309,39747,39562,0.021932
0.190000,39115,39356,39691,39563,0.023884
0.195000,39276,39265,39641,39407,0.020388
0.200000,39165,39319,39518,39446,0.020244
0.205000,39270,39183,39499,39479,0.020910
0.210000,39121,39156,39698,39680,0.020342
0.215000,39230,39325,39491,39311,0.021481
0.220000,39137,39250,39559,39451,0.020069
0.225000,39088,39099,39595,39518,0.020376
0.230000,39105,39292,39437,39381,0.020109
0.235000,39133,39149,39566,39491,0.020159
0.240000,39034,39178,39557,39378,0.020253
0.245000,39012,39053,39647,39480,0.020605
0.250000,39103,39193,39461,39264,0.019656
0.255000,39020,39211,39409,39214,0.019667
0.260000,39042,38986,39467,39497,0.019544
0.265000,38928,39185,39470,39116,0.019359
0.270000,38968,39218,39298,39261,0.019943
0.275000,38916,39099,39465,39253,0.020427
0.280000,38908,39135,39336,39111,0.021955
0.285000,38958,39094,39282,39129,0.019587
0.290000,38879,39083,39389,39152,0.019603
0.295000,39008,39088,39184,39211,0.019647
0.300000,38835,39192,39304,39015,0.019670
0.305000,38790,38941,39357,39177,0.020409
0.310000,38934,38884,39267,39191,0.021608
0.315000,38782,39158,39236,39072,0.020869
0.320000,38880,38949,39267,39278,0.020743
0.325000,38809,39234,39155,38883,0.021920
0.330000,38813,39063,39176,38962,0.021320
